model,DataSize,min_eer_eval,mean_eer_eval,std_eer_eval
BC-ResMax,10.0,0.0669,7.783333333333332,0.011372921055442764
BC-ResMax,20.0,0.0521,5.823333333333333,0.006361079572944618
BC-ResMax,30.0,0.0422,4.873333333333333,0.005714309523759921
BC-ResMax,40.0,0.0272,3.4966666666666666,0.006726316475853134
BC-ResMax,50.0,0.0332,3.8233333333333333,0.007538125319556139
BC-ResMax,60.0,0.0391,4.22,0.0026888659319497512
BC-ResMax,70.0,0.0279,3.5333333333333337,0.006493329911018945
BC-ResMax,80.0,0.0353,3.5966666666666667,0.0007637626158259731
BC-ResMax,90.0,0.0256,2.8266666666666667,0.0024785748593361733
DDWS,10.0,0.0693,7.863333333333333,0.008554141297250899
DDWS,20.0,0.0547,6.246666666666667,0.008784266237616736
DDWS,30.0,0.0492,5.5633333333333335,0.005651843357112202
DDWS,40.0,0.0333,3.766666666666666,0.0045610671265980405
DDWS,50.0,0.0369,3.9200000000000004,0.0022516660498395407
DDWS,60.0,0.0352,3.7666666666666666,0.003442867022313426
DDWS,70.0,0.0338,3.3999999999999995,0.0001732050807568882
DDWS,80.0,0.036,3.726666666666666,0.0010969655114602924
DDWS,90.0,0.0325,3.3366666666666664,0.0007505553499465114
LCNN,10.0,0.0769,8.563333333333334,0.009066605391949811
LCNN,20.0,0.0652,6.623333333333332,0.000907377172587751
LCNN,30.0,0.0543,5.933333333333333,0.007215492591177215
LCNN,40.0,0.0366,4.086666666666667,0.004697162263892248
LCNN,50.0,0.0351,3.936666666666667,0.005021288015373481
LCNN,60.0,0.0315,3.3400000000000007,0.0026286878856189868
LCNN,70.0,0.0314,3.3833333333333333,0.002112660250332112
LCNN,80.0,0.028,3.1,0.0029512709126747407
LCNN,90.0,0.0236,3.123333333333333,0.006921223398600374
ResMax,10.0,0.0789,8.773333333333333,0.00956991814663707
ResMax,20.0,0.0637,6.723333333333334,0.0032868424564212505
ResMax,30.0,0.0456,4.953333333333334,0.005103266927501772
ResMax,40.0,0.0338,3.516666666666667,0.0011930353445448849
ResMax,50.0,0.0356,3.816666666666666,0.002379775899813541
ResMax,60.0,0.0321,3.8666666666666667,0.003928697833464248
ResMax,70.0,0.0325,3.4466666666666668,0.001703917055884273
ResMax,80.0,0.0287,2.9066666666666667,0.00040414518843273666
ResMax,90.0,0.0306,3.2099999999999995,0.002343074902771994
