model,DataSize,min_eer_eval,mean_eer_eval,std_eer_eval
BC-ResMax,10.0,0.1027,14.876666666666669,0.041203074318955056
BC-ResMax,20.0,0.053,6.056666666666667,0.013105851110604506
BC-ResMax,30.0,0.0505,5.433333333333334,0.004787831798772106
BC-ResMax,40.0,0.0386,4.293333333333333,0.0037859388972001813
BC-ResMax,50.0,0.042,4.796666666666667,0.006384616929255297
BC-ResMax,60.0,0.048,4.926666666666666,0.00210792156716832
BC-ResMax,70.0,0.0402,4.930000000000001,0.008906739021662195
BC-ResMax,80.0,0.0292,3.3033333333333332,0.003382799629498226
BC-ResMax,90.0,0.0295,3.2933333333333334,0.004479211240088295
DDWS,10.0,0.0837,14.016666666666666,0.05044921538867907
DDWS,20.0,0.0706,7.9799999999999995,0.008089499366462676
DDWS,30.0,0.0567,5.933333333333333,0.0028148416178061146
DDWS,40.0,0.0288,3.716666666666667,0.0083500499000505
DDWS,50.0,0.0416,4.82,0.006455230437405005
DDWS,60.0,0.0358,4.4366666666666665,0.009325413306300871
DDWS,70.0,0.0395,4.183333333333334,0.0020428737928059404
DDWS,80.0,0.0329,4.096666666666668,0.007858965156643291
DDWS,90.0,0.0319,3.2266666666666666,0.0004041451884327406
LCNN,10.0,0.081,8.98,0.00911482309208467
LCNN,20.0,0.0597,6.473333333333334,0.004461315202194669
LCNN,30.0,0.0518,5.903333333333335,0.006351640208114233
LCNN,40.0,0.0375,4.166666666666666,0.00410162569395762
LCNN,50.0,0.0368,4.1433333333333335,0.0040501028793517475
LCNN,60.0,0.0389,4.086666666666667,0.0017387735140993337
LCNN,70.0,0.035,3.896666666666667,0.004219399641339193
LCNN,80.0,0.0255,2.8266666666666667,0.0034990474894367103
LCNN,90.0,0.0268,2.8466666666666667,0.0020816659994661343
ResMax,10.0,0.0915,10.4,0.012550298801223813
ResMax,20.0,0.0748,7.5200000000000005,0.0005291502622129201
ResMax,30.0,0.0474,5.346666666666666,0.008126704949321922
ResMax,40.0,0.0346,3.6933333333333334,0.002212088003071608
ResMax,50.0,0.0325,3.563333333333333,0.002829016319029165
ResMax,60.0,0.0348,4.0633333333333335,0.0042207424307420935
ResMax,70.0,0.0357,3.8566666666666674,0.0036678785875943754
ResMax,80.0,0.033,3.526666666666667,0.00350190424388408
ResMax,90.0,0.0332,3.4333333333333336,0.0011015141094572207
