model,DataSize,min_eer_eval,mean_eer_eval,std_eer_eval
BC-ResMax,10.0,0.1007,10.443333333333333,0.004410593308539486
BC-ResMax,20.0,0.0877,9.506666666666668,0.0064033845217457775
BC-ResMax,30.0,0.0535,7.443333333333333,0.018190748564403097
BC-ResMax,40.0,0.0453,5.45,0.008662563131083085
BC-ResMax,50.0,0.0416,6.39,0.021120369314952803
BC-ResMax,60.0,0.0563,6.52,0.010050373127401788
BC-ResMax,70.0,0.0516,5.316666666666666,0.0021361959960016106
BC-ResMax,80.0,0.0386,4.5633333333333335,0.009469072464256111
BC-ResMax,90.0,0.0416,4.25,0.0011532562594670824
DDWS,10.0,0.1004,12.386666666666667,0.030617369797768936
DDWS,20.0,0.0548,7.366666666666667,0.01880035460658477
DDWS,30.0,0.0535,6.253333333333335,0.009204527871288861
DDWS,40.0,0.0344,3.9233333333333333,0.00794250170496257
DDWS,50.0,0.0444,4.699999999999999,0.0042461747491124285
DDWS,60.0,0.0318,4.23,0.010401442207694084
DDWS,70.0,0.0352,4.453333333333333,0.008931591870060639
DDWS,80.0,0.0402,4.5633333333333335,0.006208327740489653
DDWS,90.0,0.0239,3.726666666666666,0.01181199954848176
LCNN,10.0,0.0802,9.453333333333331,0.01255760062007601
LCNN,20.0,0.0578,6.766666666666667,0.008615296473908102
LCNN,30.0,0.0608,6.296666666666667,0.0034961884007206102
LCNN,40.0,0.0424,5.013333333333334,0.008013322240702251
LCNN,50.0,0.0531,5.553333333333333,0.002311565126344775
LCNN,60.0,0.048,5.463333333333333,0.0057500724633115135
LCNN,70.0,0.0387,4.203333333333333,0.0038850139424889273
LCNN,80.0,0.0362,4.026666666666666,0.0036610563138708098
LCNN,90.0,0.0405,4.23,0.0031176914536239792
ResMax,10.0,0.0969,10.299999999999999,0.006656575696257052
ResMax,20.0,0.0629,6.630000000000001,0.003078960863668132
ResMax,30.0,0.0594,6.45,0.004912229636326053
ResMax,40.0,0.047,5.16,0.004256759330758552
ResMax,50.0,0.0501,5.613333333333333,0.0052937069557478615
ResMax,60.0,0.0446,5.331666666666667,0.007067790791093539
ResMax,70.0,0.0474,5.123333333333333,0.0036637867477970574
ResMax,80.0,0.0484,4.946666666666666,0.0009237604307034027
ResMax,90.0,0.0383,4.489999999999999,0.006279331174575838
